municipality;site;pt_locality;date;time;temperature_C;wind_m/s;precipitation ;method;color;species;sex;caste;ID;identifyed_by;captured_by;taxonomy;state;periode;netting_group;trap_ID;site_ID;;;;;;;;;
austrheim;utkilen;NA;07/06/2022;14:00;22,80;3,60;0;net;NA;B. jonellus;f;worker ;36;halvorsen;zazzera;bombus;overgrown;first;A;H2;6;;;;;;;;;
austrheim;utkilen;NA;07/06/2022;14:00;22,80;3,60;0;net;NA;B. jonellus;f;worker ;37;halvorsen;zazzera;bombus;overgrown;first;A;H2;6;;;;;;;;;
austrheim;utkilen;NA;07/06/2022;14:00;22,80;3,60;0;net;NA;B. jonellus;f;worker ;38;halvorsen;zazzera;bombus;overgrown;first;A;H2;6;;;;;;;;;
austrheim;utkilen;NA;07/06/2022;14:00;22,80;3,60;0;net;NA;B. pratorum;f;worker ;39;halvorsen;zazzera;bombus;overgrown;first;A;H2;6;;;;;;;;;
austrheim;utkilen;NA;07/06/2022;14:00;22,80;3,60;0;net;NA;B. pratorum;f;worker ;40;halvorsen;zazzera;bombus;overgrown;first;A;H2;6;;;;;;;;;
alver;syltneset ;NA;14/06/2022;16:00;14,30;4,60;0;net;NA;B. pascuorum;m;drone;41;halvorsen;zazzera;bombus;overgrown;first;B;H9;5;;;;;;;;;
alver;syltneset ;NA;14/06/2022;16:00;14,30;4,60;0;net;NA;B. pascuorum;f;worker ;42;halvorsen;zazzera;bombus;overgrown;first;B;H9;5;;;;;;;;;
alver;syltneset ;NA;14/06/2022;16:00;14,30;4,60;0;net;NA;B. pratorum;m;drone;43;halvorsen;zazzera;bombus;overgrown;first;B;H9;5;;;;;;;;;
alver;byngja;NA;14/06/2022;14:00;13,60;3,00;0;net;NA;B. pascuorum;f;worker ;44;zazzera;zazzera;bombus;open;first;B;H8;2;;;;;;;;;
alver;syltneset ;NA;14/06/2022;16:00;14,30;4,60;0;net;NA;B. jonellus;f;worker ;45;halvorsen;zazzera;bombus;overgrown;first;B;H9;5;;;;;;;;;
alver;byngja;NA;14/06/2022;14:00;13,60;3,00;0;net;NA;complex;f;queen;46;zazzera;zazzera;bombus;open;first;B;H8;2;;;;;;;;;
alver;syltneset ;NA;14/06/2022;16:00;14,30;4,60;0;net;NA;complex;f;worker ;47;halvorsen;zazzera;bombus;overgrown;first;B;H9;5;;;;;;;;;
alver;byngja;NA;14/06/2022;14:00;13,60;3,00;0;net;NA;complex;f;queen;48;zazzera;zazzera;bombus;open;first;B;H8;2;;;;;;;;;
alver;syltneset ;NA;14/06/2022;16:00;14,30;4,60;0;net;NA;B. jonellus;f;worker ;49;halvorsen;zazzera;bombus;overgrown;first;B;H9;5;;;;;;;;;
alver;byngja;NA;14/06/2022;14:00;13,60;3,00;0;net;NA;complex;f;worker ;50;zazzera;zazzera;bombus;open;first;B;H8;2;;;;;;;;;
alver;syltneset ;NA;14/06/2022;16:00;14,30;4,60;0;net;NA;B. pratorum;f;worker ;51;halvorsen;zazzera;bombus;overgrown;first;B;H9;5;;;;;;;;;
alver;syltneset ;NA;14/06/2022;16:00;14,30;4,60;0;net;NA;B. pratorum;f;worker ;52;halvorsen;zazzera;bombus;overgrown;first;B;H9;5;;;;;;;;;
alver;syltneset ;NA;14/06/2022;16:00;14,30;4,60;0;net;NA;B. jonellus;f;worker ;53;halvorsen;zazzera;bombus;overgrown;first;B;H9;5;;;;;;;;;
alver;byngja;NA;14/06/2022;14:00;13,60;3,00;0;net;NA;B. jonellus;m;drone;54;zazzera;zazzera;bombus;open;first;B;H8;2;;;;;;;;;
alver;byngja;NA;14/06/2022;14:00;13,60;3,00;0;net;NA;B. jonellus;f;worker ;55;zazzera;zazzera;bombus;open;first;B;H8;2;;;;;;;;;
alver;syltneset ;NA;14/06/2022;16:00;14,30;4,60;0;net;NA;B. jonellus;f;worker ;56;halvorsen;zazzera;bombus;overgrown;first;B;H9;5;;;;;;;;;
alver;byngja;NA;14/06/2022;14:00;13,60;3,00;0;net;NA;complex;f;worker ;57;zazzera;zazzera;bombus;open;first;B;H8;2;;;;;;;;;
alver;syltneset ;NA;14/06/2022;16:00;14,30;4,60;0;net;NA;B. jonellus;f;worker ;58;halvorsen;zazzera;bombus;overgrown;first;B;H9;5;;;;;;;;;
alver;syltneset ;NA;14/06/2022;16:00;14,30;4,60;0;net;NA;B. pratorum;m;drone;59;halvorsen;zazzera;bombus;overgrown;first;B;H9;5;;;;;;;;;
alver;syltneset ;NA;14/06/2022;16:00;14,30;4,60;0;net;NA;B. pratorum;f;worker;60;halvorsen;zazzera;bombus;overgrown;first;B;H9;5;;;;;;;;;
alver;syltneset ;NA;14/06/2022;16:00;14,30;4,60;0;net;NA;B. jonellus;f;worker;61;halvorsen;zazzera;bombus;overgrown;first;B;H9;5;;;;;;;;;
austrheim;lerøysundet;NA;14/06/2022;12:00;13,60;2,70;0;net;NA;B. hypnorum;f;worker ;62;zazzera;zazzera;bombus;overgrown;first;B;H7;4;;;;;;;;;
austrheim;lerøysundet;NA;14/06/2022;12:00;13,60;2,70;0;net;NA;B. pascuorum;f;worker ;63;zazzera;zazzera;bombus;overgrown;first;B;H7;4;;;;;;;;;
austrheim;lerøysundet;NA;14/06/2022;12:00;13,60;2,70;0;net;NA;complex;f;queen;64;zazzera;zazzera;bombus;overgrown;first;B;H7;4;;;;;;;;;
austrheim;lerøysundet;NA;14/06/2022;12:00;13,60;2,70;0;net;NA;B. jonellus;f;worker;65;zazzera;zazzera;bombus;overgrown;first;B;H7;4;;;;;;;;;
austrheim;lerøysundet;NA;14/06/2022;12:00;13,60;2,70;0;net;NA;B. pratorum;f;worker ;66;zazzera;zazzera;bombus;overgrown;first;B;H7;4;;;;;;;;;
austrheim;lerøysundet;NA;14/06/2022;12:00;13,60;2,70;0;net;NA;complex;f;worker;67;zazzera;zazzera;bombus;overgrown;first;B;H7;4;;;;;;;;;
austrheim;lerøysundet;NA;14/06/2022;12:00;13,60;2,70;0;net;NA;complex;f;worker;68;zazzera;zazzera;bombus;overgrown;first;B;H7;4;;;;;;;;;
austrheim;lerøysundet;NA;14/06/2022;12:00;13,60;2,70;0;net;NA;B. jonellus;f;worker;69;zazzera;zazzera;bombus;overgrown;first;B;H7;4;;;;;;;;;
austrheim;lerøysundet;NA;14/06/2022;12:00;13,60;2,70;0;net;NA;B. pratorum;f;worker;70;zazzera;zazzera;bombus;overgrown;first;B;H7;4;;;;;;;;;
austrheim;lerøysundet;NA;14/06/2022;12:00;13,60;2,70;0;net;NA;B. jonellus;f;worker;71;zazzera;zazzera;bombus;overgrown;first;B;H7;4;;;;;;;;;
austrheim;lerøysundet;NA;14/06/2022;12:00;13,60;2,70;0;net;NA;B. jonellus;f;worker ;72;zazzera;zazzera;bombus;overgrown;first;B;H7;4;;;;;;;;;
